adreso,adres
laboro,praca
metio,zawód
rilato,"związek (relacja)"
solinfano,jedynak
"civita stato","stan cywilny"
gefratoj,"wolny czas"
amiko,przyjaciel
kondukpermesilo,prawojazdy
"naskiĝtago","data urodzin"
"naskiĝtago",urodziny
gefratoj,"rodzeństwo"
dorlotbesto,"pieszczoch domowy"
jaro,rok
"familia nomo",nazwisko
antaŭnomo,"imię"
vidvo,wdowiec
"familia nomo",nazwisko
labori,"pracować"
naski,"urodzić"
"loĝi ","żyć"
naskita,urodzony
"eksedz(in)iĝinta,",rozwiedziony
juna;,"młody"
fraŭla,"stanu wolnego"
volonte,ochoczo
nuntempe,obecnie
depost,od
kiu,który
