eo,,de,,en,pl,,
,,,,,,,
,,,,,,,
fruaĵo ,,,,,nowalijka,,
,,,,,,,
,,,,,,,
,,Personalbogen,,,formularz osobowy,o,1
,,Personalformular,,,formularz osobowy,o,1
,,Kopftuch,,kerchief,chustka na głowę,o,
,r,Reiseführer,,travel Guide,przewodnik podróży,o,
,,T-Shirt,,T-shirt,koszulka,o,
,s,Regierungsviertel,,,dzielnica rządowa,o,
,r,Flohmarkt,,flea market,pchli targ,,
,,,,,,,
,,,,,,,
fruigi,,,,"to hasten, to advance",,i,2
,,fernsehen,,to watch tv,oglądać telewizję,i,2
,,,,,,,
,,,,,,,
,,verlobt,,,zaręczony,a,3
,,,,,,,
kruce,,kreuzförmig,,,na krzyż,e,
,,früher,,,dawniej,e,
