kio , was, which; what; that; what, co,o,0,0
tio , das (hinweisend); dasjenige, that over there; that; those, to; tamto,o,1,0
io , irgendetwas, something, coś,o,2,0
ĉio , alles, everything; altogether; all, wszystko,o,3,0
nenio , nichts, nothing, nic,o,4,0
kiu , wer; welcher; derjenige, that; which one; which; who, kto; który,u,0,1
tiu , jener(e/s), yonder; that; that one, ten; tamten,u,1,1
iu , irgendjemand, (some/any)(one/body), ktoś; któryś,u,2,1
ĉiu , jeder, each; every, każdy,u,3,1
neniu , niemand, none; nobody; no, nikt; żaden,u,4,1
kie , wo, where, gdzie,e,0,2
tie , dort, over there; yonder; there, tam,e,1,2
ie , irgendwo, somewhere; anywhere, gdzieś,e,2,2
ĉie , überall, everywhere; all about, wszędzie,e,3,2
nenie , nirgendwo, nowhere, nigdzie,e,4,2
kial , warum, what for; why, dlaczego,al,0,3
tial , deswegen; darum, therefore, dlatego,al,1,3
ial , aus irgendeinem Grund, for some reason, z jakiegoś powodu,al,2,3
ĉial , aus jedem Grunde, for every reason, z każdego powdodu,al,3,3
nenial , aus keinem Grunde, for no reason, bez żadnego powodu,al,4,3
kiam , wann, as; when, kiedy,am,0,4
tiam , dann, then, wtedy,am,1,4
iam , irgendwann, ever; at some time; sometime, kiedyś,am,2,4
ĉiam , immer, always; ever, zawsze,am,3,4
neniam , niemals, never, nigdy,am,4,4
kies , wessen, which one's; of which; whose, czyj,es,0,5
ties , dessen, that one's, tego; tej osoby,es,1,5
ies , irgendjemandes, someone's, czyjś,es,2,5
ĉies , jedermanns, everyone's, każdego; każdej osoby,es,3,5
nenies , niemandes, no, niczyj; nikogo,es,4,5
kiom , wieviel, how many; how much, ile,om,0,6
tiom , soviel, that much, tyle; tak bardzo,om,1,6
iom , etwas (quantitativ); oft: ein wenig, to some extent; a little; some, ileś; trochę; nieco,om,2,6
ĉiom , alles zusammen (in jeder Menge), all; all of it, każdą ilość,om,3,6
neniom , gar nichts (in keiner Menge), none, nic; wcale; żadną ilość,om,4,6
kiel ," wie; auf welche Art und Weise 
(Fragt nah einem Adverb)", as; like; how, jak,el,0,7
tiel ," so 
(Weist hin auf die Art und Weise.)", thus; so; such, tak,el,1,7
iel , irgendwie, anyway; somehow, jakoś,el,2,7
ĉiel , auf jede Weise, in every way, wszelkimi sposobami,el,3,7
neniel , auf keine Weise, in no way; not at all; by no means, w żaden sposób; nijak,el,4,7
kia ," was für ein(e) 
(Frage nach einer Eigenschaft)", what kind of; what sort of, jaki,a,0,8
tia ," so (geartet) 
(Weist auf eine Eigenschaft hin.)", such; such a; that kind of, taki,a,1,8
ia ," irgendein(e) 
(eine unbestimmte Eigenschaft)", some kind of, jakiś,a,2,8
ĉia , jederlei (Eigenschaft), every kind of, każdy; wszelaki,a,3,8
nenia , keinerlei, no kind of; no . . . whatsoever, żaden; żadnego rodzaju,a,4,8
