laŭ,"nach;gemäß","according to","według; wedle; wzdłuż"
hieraŭ,gestern,yesterday,wczoraj
da,"präp vor Angabe der Menge (glaso da biero)","of (following expression of quantity or weight)","przyimek określający ilość"
jen,"hier! (Ausruf)","here is",oto
trans,"jenseits von; auf der anderen Seite von",across,"po drugiej stronie; z drugiej strony"
po,"je;zu;à","at the rate of","po (ile)"
antaŭ,vor,"before; in front of",przed
tamen,dennoch,"nevertheless; but; yet; however",jednak
devi,müssen,must,"musieć"
rajti,dürfen,,"mieć prawo"
al,"zu; nach; in Richtung von; al + Nominativ gibt den deutschen präpositionslosen Dativ wieder.",to,"do; ku"
morgaŭ,morgen,tomorrow,jutro
ke,dass,that,że
tre,sehr,"very; very much",bardzo
ĵus,"gerade; soeben","just; just now","właśnie; dopiero co"
kontraŭ,gegen,against,"wobec; wbrew; przeciw"
apud,neben;an;bei,beside,"obok; koło"
preter,an...vorbei;an...vorüber,"past; beyond","obok (przy mijaniu)"
sed,aber,but,ale
hodiaŭ,heute,today,dzisiaj
tro,zu(viel),"too much",zbyt
por,für,for,"dla; za; w zamian za"
super,über,over,"nad; ponad"
"ĉe",bei;zu;an,"at; near; beside","przy; u"
kvankam,"obwohl; obgleich; obzwar",although,"chociaż; mimo że"
tuj,"sofort; unmittelbar","right away; immediatelyrajti","natychmiast; zaraz"
ankoraŭ,noch,"still; yet",jeszcze
preskaŭ,"fast; beinahe","nearly; almost",prawie
post,nach,after,"po; za"
je,"präp.ohne selbstständige Bedeutung","at; on","przyimek uniwersalny"
"ĉirkaŭ",um;um...herum,around,"dookoła; wokół; około"
ekster,"außerhalb; außer","outside of","poza; na zewnątrz"
voli,wollen,want,"chcieć"
malgraŭ,trotz,"in spite of","mimo; pomimo"
inter,zwischen,"between; among","pomiędzy; wśród; pośród"
baldaŭ,bald,soon,"wkrótce; niebawem"
pri,"über; von; betreffend; anbelangt",about,"o; w odniesieniu do"
plu,"weiter; mehr","more; further","dalej; jeszcze"
kvazaŭ,"als ob; quasi","as though; as if","jakby; niby"
for,"weg; fort",away,"precz; daleko; poza"
almenaŭ,"zumindest; mindestens","at least","przynajmniej; co najmniej"
nur,"nur; allein","exclusively; just; only",tylko
sur,auf,on,na
per,per;durch;mittels;mit,"by means of","przez; za pomocą; za pośrednictwem"
en,in,"in; inside",w
de,seit;ab;von,"of (possession)","od; z"
"ŝati",mögen,like,"lubić"
pro,"wegen; halber; um ... willen; anläßlich","because of","ze względu na; z powodu; z uwagi na"
aŭ,oder,or,"lub; albo"
apenaŭ,kaum,"barely; hardly","zaledwie; ledwo"
kun,mit,with,"z (kimś; czymś)"
malantaŭ,"hinter; nach",behind,"za; z tyłu"
ankaŭ,"auch; zudem","too; also","też; także"
povi,können,can,"móc/umieć"
tra,durch,through,"przez; na wskroś"
krom,"außer;ausgenommen","aside from","prócz; oprócz"
kaj,und,and,"i; a"
dum,während,while,"gdy; podczas gdy"
nun,"nun; jetzt",now,teraz
anstataŭ,"statt; anstatt; an Stelle von","instead of",zamiast
sub,unter,under,pod
"ĝis",bis,until,"do; aż; aż do"
el,aus,from,"z (kogo; czego)"
sen,ohne,without,bez
